loan_duration,credit_history,purpose,amount,percent_of_income,years_at_residence,age,existing_loans_count,dependents,phone,default
6,critical,furniture,1169,4,4,67,2,1,yes,no
48,good,furniture,5951,2,2,22,1,1,no,yes
12,critical,education,2096,2,3,49,1,2,no,no
42,good,furniture,7882,2,4,45,1,2,no,no
24,poor,car,4870,3,4,53,2,2,no,yes
36,good,education,9055,2,4,35,1,2,yes,no
24,good,furniture,2835,3,4,53,1,1,no,no
36,good,car,6948,2,2,35,1,1,yes,no
12,good,furniture,3059,2,4,61,1,1,no,no
30,critical,car,5234,4,2,28,2,1,no,yes
12,good,car,1295,3,1,25,1,1,no,yes
48,good,business,4308,3,4,24,1,1,no,yes
12,good,furniture,1567,1,1,22,1,1,yes,no
24,critical,car,1199,4,4,60,2,1,no,yes
15,good,car,1403,2,4,28,1,1,no,no
24,good,furniture,1282,4,2,32,1,1,no,yes
24,critical,furniture,2424,4,4,53,2,1,no,no
30,perfect,business,8072,2,3,25,3,1,no,no
24,good,car,12579,4,2,44,1,1,yes,yes
24,good,furniture,3430,3,2,31,1,2,yes,no
9,critical,car,2134,4,4,48,3,1,yes,no
6,good,furniture,2647,2,3,44,1,2,no,no
10,critical,car,2241,1,3,48,2,2,no,no
12,critical,car,1804,3,4,44,1,1,no,no
10,critical,furniture,2069,2,1,26,2,1,no,no
6,good,furniture,1374,1,2,36,1,1,yes,no
6,perfect,furniture,426,4,4,39,1,1,no,no
12,very good,furniture,409,3,3,42,2,1,no,no
7,good,furniture,2415,3,2,34,1,1,no,no
60,poor,business,6836,3,4,63,2,1,yes,yes
18,good,business,1913,3,3,36,1,1,yes,no
24,good,furniture,4020,2,2,27,1,1,no,no
18,good,car,5866,2,2,30,2,1,yes,no
12,critical,business,1264,4,4,57,1,1,no,no
12,good,furniture,1474,4,1,33,1,1,yes,no
45,critical,furniture,4746,4,2,25,2,1,no,yes
48,critical,education,6110,1,3,31,1,1,yes,no
18,good,furniture,2100,4,2,37,1,1,no,yes
10,good,furniture,1225,2,2,37,1,1,yes,no
9,good,furniture,458,4,3,24,1,1,no,no
30,good,furniture,2333,4,2,30,1,1,no,no
12,good,furniture,1158,3,1,26,1,1,yes,no
18,poor,renovations,6204,2,4,44,1,2,yes,no
30,critical,car,6187,1,4,24,2,1,no,no
48,critical,car,6143,4,4,58,2,1,no,yes
